state,condition,year,current_cost,lower_bound,upper_bound
CO,ischemia,2018,138770.1157,126877.8265,150662.405
CO,arthritis,2018,35089.20569,23266.10313,46912.30826
CO,psychotic,2018,44245.65968,32442.17528,56049.14407
CO,stroke,2018,100755.4562,88898.51959,112612.3928
CT,atrial_fib,2018,34256.71444,22486.06283,46027.36605
CT,asthma,2018,23483.94715,11706.7272,35261.16711
CT,chronic_kidney,2018,27457.94273,15681.97807,39233.90739
CT,pulmonary,2018,24188.25443,12412.47959,35964.02928
CT,depression,2018,28317.7331,16542.8455,40092.62071
CT,diabetes,2018,26305.51999,14537.80692,38073.23306
CT,hyperlip,2018,34547.68627,22763.53101,46331.84154
CT,hypertension,2018,30979.41315,19193.57827,42765.24804
CT,ischemia,2018,72340.58232,60557.16685,84123.99779
CT,arthritis,2018,24430.40681,12626.98471,36233.82891
CT,psychotic,2018,37003.9684,25221.12883,48786.80796
CT,stroke,2018,67322.2518,55517.76044,79126.74315
DE,atrial_fib,2018,37175.68692,25422.19644,48929.17741
DE,asthma,2018,20687.49183,8925.955707,32449.02796
DE,chronic_kidney,2018,27538.07834,15781.35232,39294.80436
DE,pulmonary,2018,23146.00658,11391.41357,34900.59959
DE,depression,2018,29355.12209,17599.25057,41110.99362
DE,diabetes,2018,24446.84168,12696.85114,36196.83221
DE,hyperlip,2018,30570.31022,18798.24753,42342.37291
DE,hypertension,2018,20938.86455,9175.170073,32702.55902
DE,ischemia,2018,90987.78519,79231.76481,102743.8056
DE,arthritis,2018,26877.61124,15089.08736,38666.13512
DE,psychotic,2018,23276.74332,11510.86332,35042.62333
DE,stroke,2018,64560.24289,52769.22517,76351.26061
FL,atrial_fib,2018,63146.8792,50980.61817,75313.14024
FL,asthma,2018,41048.27191,28884.28368,53212.26014
FL,chronic_kidney,2018,50566.70697,38402.94092,62730.47302
FL,pulmonary,2018,43339.15105,31167.57155,55510.73054
FL,depression,2018,40368.27045,28208.48811,52528.05279
FL,diabetes,2018,44200.71777,32042.7856,56358.64994
FL,hyperlip,2018,76939.93467,64773.36695,89106.50239
FL,hypertension,2018,38520.66087,26344.47422,50696.84753
FL,ischemia,2018,132833.1229,120639.106,145027.1399
FL,arthritis,2018,35341.92331,23155.8636,47527.98302
FL,psychotic,2018,54894.61478,42735.11541,67054.11416
FL,stroke,2018,99507.91625,87320.21822,111695.6143
GA,atrial_fib,2018,38573.35116,26752.51779,50394.18452
GA,asthma,2018,25591.91267,13768.2773,37415.54804
GA,chronic_kidney,2018,34146.42498,22324.95771,45967.89224
GA,pulmonary,2018,29123.98926,17301.51742,40946.4611
GA,depression,2018,26884.70289,15068.48065,38700.92513
GA,diabetes,2018,33231.80145,21415.27689,45048.32601
GA,hyperlip,2018,50652.7922,38833.80565,62471.77876
GA,hypertension,2018,28877.48082,17052.20409,40702.75755
GA,ischemia,2018,105180.4443,93342.06602,117018.8225
GA,arthritis,2018,21037.12154,9200.04916,32874.19392
GA,psychotic,2018,34541.18691,22718.32817,46364.04566
GA,stroke,2018,77255.28513,65408.42949,89102.14076
HI,atrial_fib,2018,35363.07696,23561.57152,47164.58239
HI,asthma,2018,35318.04206,23507.29345,47128.79068
HI,chronic_kidney,2018,34743.75021,22940.04219,46547.45822
HI,pulmonary,2018,34947.30941,23145.32495,46749.29388
HI,depression,2018,17459.6,5658.433933,29260.76607
HI,diabetes,2018,30104.83133,18310.97825,41898.68442
HI,ischemia,2018,90407.73854,78609.25574,102206.2213
HI,stroke,2018,44992.45374,33126.55937,56858.3481
IA,atrial_fib,2018,35682.0131,23927.81396,47436.21224
IA,asthma,2018,24729.92078,12970.71338,36489.12817
IA,chronic_kidney,2018,32637.08026,20880.81789,44393.34262
IA,pulmonary,2018,23876.35252,12123.54692,35629.15812
IA,depression,2018,20989.43393,9236.491977,32742.37589
IA,diabetes,2018,25888.95398,14138.92571,37638.98225
IA,hyperlip,2018,47935.14626,36177.33438,59692.95814
IA,hypertension,2018,25245.28352,13484.80426,37005.76278
IA,ischemia,2018,82963.78526,71205.10539,94722.46513
IA,arthritis,2018,19989.64896,8211.101981,31768.19594
IA,psychotic,2018,37044.90339,25281.44661,48808.36016
ID,atrial_fib,2018,40756.55488,29008.03948,52505.07028
ID,asthma,2018,21454.94765,9701.001526,33208.89378
ID,chronic_kidney,2018,27656.34275,15905.78404,39406.90146
ID,pulmonary,2018,26344.53017,14596.2679,38092.79243
ID,depression,2018,25543.94483,13796.49288,37291.39678
ID,diabetes,2018,29981.75497,18237.70993,41725.80001
ID,hyperlip,2018,38936.38158,27180.67373,50692.08943
ID,ischemia,2018,93337.14431,81585.94106,105088.3476
ID,stroke,2018,58878.30635,47091.64958,70664.96312
IL,atrial_fib,2018,42422.91318,30631.49605,54214.3303
IL,asthma,2018,31359.81183,19565.39783,43154.22584
IL,chronic_kidney,2018,39121.28155,27326.77342,50915.78969
IL,pulmonary,2018,32622.49889,20829.04229,44415.9555
IL,depression,2018,28366.67336,16578.92957,40154.41715
IL,diabetes,2018,34522.49609,22736.06855,46308.92362
IL,hyperlip,2018,56835.68863,45042.11705,68629.26021
IL,hypertension,2018,28471.91043,16677.71288,40266.10798
IL,ischemia,2018,107706.6043,95897.38052,119515.8281
IL,arthritis,2018,26494.38111,14686.83375,38301.92848
IL,psychotic,2018,36335.17591,24541.01171,48129.3401
IL,stroke,2018,76962.28294,65147.76192,88776.80396
IN,atrial_fib,2018,38786.39171,27003.68631,50569.09711
IN,asthma,2018,25564.55836,13777.9009,37351.21582
IN,chronic_kidney,2018,35858.58749,24073.68281,47643.49216
IN,pulmonary,2018,27565.59013,15783.40533,39347.77493
IN,depression,2018,24683.20491,12900.39505,36466.01477
IN,diabetes,2018,30121.24983,18341.98677,41900.5129
IN,hyperlip,2018,63874.08533,52077.10516,75671.0655
IN,hypertension,2018,28973.58203,17187.5152,40759.64885
IN,ischemia,2018,107714.553,95907.81343,119521.2925
IN,arthritis,2018,19048.69202,7249.178997,30848.20504
IN,psychotic,2018,32787.71762,20999.8849,44575.55034
IN,stroke,2018,73094.47842,61287.14426,84901.81258
KS,atrial_fib,2018,40551.07895,28802.63259,52299.52531
KS,asthma,2018,31628.04439,19870.90805,43385.18072
KS,chronic_kidney,2018,37884.55194,26131.22297,49637.88092
KS,pulmonary,2018,34157.57895,22405.85912,45909.29878
KS,depression,2018,32441.45086,20689.38214,44193.51957
KS,diabetes,2018,31526.40377,19780.46805,43272.33948
KS,hyperlip,2018,75829.86374,64040.11358,87619.61389
KS,hypertension,2018,31075.76661,19316.9576,42834.57561
KS,ischemia,2018,104614.0674,92848.90178,116379.2331
KS,arthritis,2018,21725.80363,9949.499248,33502.10802
KS,psychotic,2018,42595.77749,30833.30311,54358.25187
KS,stroke,2018,78769.23911,66983.08527,90555.39295
KY,atrial_fib,2018,43884.81282,32121.57123,55648.0544
KY,asthma,2018,22221.88685,10457.08699,33986.68671
KY,chronic_kidney,2018,29643.82237,17882.07706,41405.56768
KY,pulmonary,2018,25240.26847,13479.80117,37000.73577
KY,depression,2018,18884.67179,7122.622958,30646.72063
KY,diabetes,2018,26729.43226,14973.26591,38485.5986
KY,hyperlip,2018,46752.13661,34988.73984,58515.53338
KY,hypertension,2018,24294.71055,12529.57726,36059.84384
KY,ischemia,2018,97635.76915,85865.73639,109405.8019
KY,arthritis,2018,30881.94566,19097.67515,42666.21616
KY,psychotic,2018,30068.86687,18302.4725,41835.26124
KY,stroke,2018,110495.2261,98619.7503,122370.702
LA,atrial_fib,2018,32226.68866,20447.03898,44006.33834
LA,asthma,2018,24355.47739,12568.57682,36142.37796
LA,chronic_kidney,2018,33398.12475,21613.25705,45182.99246
LA,pulmonary,2018,26779.65388,14994.97153,38564.33622
LA,depression,2018,20153.4699,8374.979235,31931.96056
LA,diabetes,2018,27321.01857,15545.18133,39096.85581
LA,hyperlip,2018,41750.12835,29969.28596,53530.97075
LA,hypertension,2018,23442.60281,11654.36624,35230.83938
LA,ischemia,2018,101155.4898,89358.22872,112952.751
LA,arthritis,2018,20665.92933,8856.459312,32475.39934
LA,psychotic,2018,28219.01183,16432.27204,40005.75163
LA,stroke,2018,76309.21094,64487.33418,88131.0877
MA,atrial_fib,2018,41753.5114,29866.6713,53640.3515
MA,asthma,2018,26060.80133,14164.03363,37957.56904
MA,chronic_kidney,2018,38801.66139,26911.2981,50692.02467
MA,pulmonary,2018,25263.9498,13365.36936,37162.53023
MA,depression,2018,30468.87396,18577.78542,42359.9625
MA,diabetes,2018,33591.75401,21708.69114,45474.81689
MA,hyperlip,2018,51556.09141,39657.86347,63454.31936
MA,hypertension,2018,27783.32069,15884.81112,39681.83025
MA,ischemia,2018,91215.88931,79320.84877,103110.9299
MA,arthritis,2018,27256.03763,15342.47164,39169.60363
MA,psychotic,2018,40074.27511,28183.63385,51964.91636
MA,stroke,2018,87160.5262,75249.96778,99071.08462
MD,atrial_fib,2018,17837.78296,5993.901847,29681.66408
MD,asthma,2018,11469.2897,-372.7895689,23311.36897
MD,chronic_kidney,2018,15825.46742,3982.298465,27668.63638
MD,pulmonary,2018,11577.48116,-264.4468331,23419.40916
MD,depression,2018,10896.94455,-936.0982212,22729.98733
MD,diabetes,2018,13020.40997,1187.498656,24853.32128
MD,hyperlip,2018,17822.46832,5957.860583,29687.07606
MD,hypertension,2018,12528.38664,687.8713137,24368.90197
MD,ischemia,2018,37323.24654,25393.90939,49252.58368
MD,arthritis,2018,10819.2906,-1041.052853,22679.63405
MD,psychotic,2018,18446.19586,6602.864733,30289.52699
MD,stroke,2018,31479.554,19574.45049,43384.65751
ME,atrial_fib,2018,26324.13334,14564.86035,38083.40633
ME,asthma,2018,14247.66576,2484.330719,26011.00079
ME,chronic_kidney,2018,21954.41957,10195.3337,33713.50545
ME,pulmonary,2018,19012.05331,7255.950136,30768.15649
ME,depression,2018,27902.45527,16145.0138,39659.89673
ME,diabetes,2018,21682.06573,9931.030893,33433.10057
ME,hyperlip,2018,31332.14578,19563.61439,43100.67718
ME,hypertension,2018,18076.85094,6312.475348,29841.22654
ME,ischemia,2018,69058.73564,57290.61236,80826.85891
ME,psychotic,2018,23243.88698,11478.2148,35009.55916
MI,atrial_fib,2018,34537.80717,22737.05748,46338.55687
MI,asthma,2018,21064.95302,9260.075663,32869.83038
MI,chronic_kidney,2018,25634.87515,13831.73341,37438.0169
MI,pulmonary,2018,21799.03815,9993.101566,33604.97474
MI,depression,2018,23121.17922,11320.94962,34921.40883
MI,diabetes,2018,23015.40654,11220.89316,34809.91991
MI,hyperlip,2018,37609.86271,25806.02353,49413.70188
MI,hypertension,2018,22358.6587,10553.06642,34164.25097
MI,ischemia,2018,75798.86546,63992.48968,87605.24125
MI,arthritis,2018,22193.05397,10369.20105,34016.90689
MI,psychotic,2018,23493.92324,11688.90937,35298.93712
MI,stroke,2018,57135.23102,45305.68042,68964.78162
MN,atrial_fib,2018,38730.87756,26862.36756,50599.38755
MN,asthma,2018,20742.01935,8878.605985,32605.43271
MN,chronic_kidney,2018,23636.703,11772.40986,35500.99613
MN,pulmonary,2018,21068.23623,9200.084693,32936.38778
MN,depression,2018,24978.66203,13114.32357,36843.0005
MN,diabetes,2018,25649.10529,13792.38881,37505.82177
MN,hyperlip,2018,33172.23199,21311.82751,45032.63647
MN,hypertension,2018,20788.2908,8917.040865,32659.54074
MN,ischemia,2018,88745.01995,76880.76465,100609.2752
MN,arthritis,2018,16557.97328,4673.422862,28442.5237
MN,psychotic,2018,36140.52372,24265.79081,48015.25664
MN,stroke,2018,54609.00671,42716.85101,66501.1624
MO,atrial_fib,2018,37611.90957,25851.27691,49372.54222
MO,asthma,2018,25107.77291,13343.01319,36872.53263
MO,chronic_kidney,2018,34445.504,22684.65503,46206.35297
MO,pulmonary,2018,27294.06005,15534.98967,39053.13044
MO,depression,2018,20192.02529,8431.110254,31952.94032
MO,diabetes,2018,29700.93865,17944.94053,41456.93677
MO,hyperlip,2018,46762.61239,34999.82551,58525.39927
MO,hypertension,2018,30177.54269,18411.37924,41943.70614
MO,ischemia,2018,95037.97913,83271.64625,106804.312
MO,arthritis,2018,23142.19481,11361.90058,34922.48905
MO,psychotic,2018,36214.65258,24448.2782,47981.02697
MO,stroke,2018,64103.76087,52313.1067,75894.41504
MS,atrial_fib,2018,32245.7912,20487.52983,44004.05257
MS,asthma,2018,19580.35484,7816.750009,31343.95967
MS,chronic_kidney,2018,30953.85813,19193.68521,42714.03104
MS,pulmonary,2018,28072.38144,16311.83085,39832.93203
MS,depression,2018,15559.99765,3802.188102,27317.8072
MS,diabetes,2018,25145.25731,13391.59685,36898.91778
MS,hyperlip,2018,35569.17396,23805.72817,47332.61975
MS,hypertension,2018,24308.27416,12542.59914,36073.94919
MS,ischemia,2018,96288.14968,84519.55538,108056.744
MS,arthritis,2018,14604.82538,2819.774396,26389.87636
MS,psychotic,2018,21842.99629,10076.33413,33609.65845
MS,stroke,2018,69420.22143,57627.3734,81213.06947
MT,atrial_fib,2018,22820.89266,11062.28151,34579.50381
MT,chronic_kidney,2018,20164.67614,8407.45297,31921.89931
MT,pulmonary,2018,21211.13601,9459.88576,32962.38626
MT,depression,2018,13385.60941,1632.128542,25139.09027
MT,diabetes,2018,21663.12209,9916.256279,33409.98789
MT,hyperlip,2018,32091.19357,20326.3182,43856.06894
MT,ischemia,2018,91263.60466,79511.46428,103015.745
MT,psychotic,2018,19130.46171,7365.082828,30895.84058
NC,atrial_fib,2018,42019.18284,30155.9476,53882.41808
NC,asthma,2018,22627.80945,10757.10995,34498.50896
NC,chronic_kidney,2018,33723.31703,21858.67665,45587.95741
NC,pulmonary,2018,23296.23731,11428.6282,35163.84642
NC,depression,2018,25554.30779,13692.90556,37415.71002
NC,diabetes,2018,24754.99235,12894.15802,36615.82668
NC,hyperlip,2018,51240.03126,39375.73333,63104.32918
NC,hypertension,2018,25594.79786,13731.05705,37458.53867
NC,ischemia,2018,87846.13932,75977.182,99715.09663
NC,arthritis,2018,22113.75742,10236.25872,33991.25612
NC,psychotic,2018,33070.31137,21205.13614,44935.4866
NC,stroke,2018,63831.98193,51950.85206,75713.1118
ND,atrial_fib,2018,32805.41334,21054.23377,44556.5929
ND,asthma,2018,19806.91387,8048.729738,31565.098
ND,chronic_kidney,2018,20124.68678,8367.237969,31882.13559
ND,pulmonary,2018,20081.88474,8329.706448,31834.06302
ND,depression,2018,22028.52251,10277.58341,33779.46161
ND,diabetes,2018,19072.66514,7323.886456,30821.44383
ND,hyperlip,2018,43922.46378,32165.90656,55679.02101
ND,hypertension,2018,17063.35033,5301.841031,28824.85962
ND,ischemia,2018,80534.96183,68781.58971,92288.33394
ND,arthritis,2018,14105.00852,2319.86552,25890.15152
NE,atrial_fib,2018,36715.11826,24967.87934,48462.35718
NE,asthma,2018,28153.3204,16398.52082,39908.11999
NE,chronic_kidney,2018,31681.92801,19931.21761,43432.63841
NE,pulmonary,2018,26371.60067,14623.64331,38119.55804
NE,depression,2018,20037.52624,8289.987213,31785.06527
NE,diabetes,2018,31130.37977,19385.74853,42875.01101
NE,hyperlip,2018,43116.29975,31362.76802,54869.83148
NE,hypertension,2018,21809.43075,10053.36464,33565.49685
NE,ischemia,2018,91900.44054,80149.1711,103651.71
NE,arthritis,2018,18118.73765,6341.683281,29895.79202
NE,psychotic,2018,28647.01868,16890.18667,40403.85069
NH,atrial_fib,2018,32589.1012,20841.29517,44336.90723
NH,asthma,2018,18910.75824,7156.771177,30664.74531
NH,chronic_kidney,2018,30513.78712,18764.3776,42263.19663
NH,pulmonary,2018,22709.24026,10962.16369,34456.31683
NH,depression,2018,24491.18056,12744.39545,36237.96566
NH,diabetes,2018,24685.88117,12943.00096,36428.76138
NH,hyperlip,2018,51889.64421,40136.02627,63643.26216
NH,hypertension,2018,21077.16947,9321.434173,32832.90476
NH,ischemia,2018,86803.39874,75054.46407,98552.33341
NH,arthritis,2018,18243.04925,6466.655714,30019.44278
NH,psychotic,2018,38134.65305,26375.25755,49894.04855
NJ,atrial_fib,2018,73489.17643,61617.04674,85361.30613
NJ,asthma,2018,49711.20286,37846.22082,61576.18489
NJ,chronic_kidney,2018,63429.11712,51557.86428,75300.36996
NJ,pulmonary,2018,59136.44606,47267.85373,71005.03838
NJ,depression,2018,48307.37609,36450.55962,60164.19257
NJ,diabetes,2018,57955.94974,46095.77908,69816.1204
NJ,hyperlip,2018,50143.66314,38274.85911,62012.46718
NJ,hypertension,2018,45674.96151,33811.46712,57538.45589
NJ,ischemia,2018,113493.1389,101628.8031,125357.4747
NJ,arthritis,2018,41519.21479,29640.18122,53398.24836
NJ,psychotic,2018,76076.14912,64172.65586,87979.64238
NJ,stroke,2018,124460.8551,112503.8877,136417.8226
NM,atrial_fib,2018,37576.48507,25821.5504,49331.41975
NM,asthma,2018,22589.75523,10827.66843,34351.84203
NM,chronic_kidney,2018,28998.35154,17239.93621,40756.76687
NM,pulmonary,2018,35070.12128,23310.51896,46829.7236
NM,depression,2018,24236.50893,12480.34076,35992.67711
NM,diabetes,2018,31911.11926,20159.703,43662.53551
NM,hyperlip,2018,84059.94357,72236.93275,95882.95439
NM,hypertension,2018,24003.36542,12237.66495,35769.0659
NM,ischemia,2018,107420.3604,95646.89532,119193.8254
NM,arthritis,2018,13826.29198,2034.873958,25617.71
NV,atrial_fib,2018,71478.88595,59668.24194,83289.52995
NV,asthma,2018,49676.46192,37881.65165,61471.27219
NV,chronic_kidney,2018,55614.47084,43826.30197,67402.63972
NV,pulmonary,2018,51081.20664,39294.03843,62868.37485
NV,depression,2018,50075.3488,38285.67056,61865.02704
NV,diabetes,2018,60547.0313,48743.33502,72350.72758
NV,hyperlip,2018,51793.40769,40027.38662,63559.42875
NV,hypertension,2018,46777.61013,34983.09619,58572.12406
NV,ischemia,2018,185097.5639,172902.8915,197292.2363
NV,arthritis,2018,46923.41107,35104.32495,58742.49718
NV,psychotic,2018,69144.05924,57311.13434,80976.98415
NV,stroke,2018,121239.3974,109317.6265,133161.1683
NY,atrial_fib,2018,57869.54546,45790.42869,69948.66223
NY,asthma,2018,36888.69813,24805.70254,48971.69372
NY,chronic_kidney,2018,46706.87647,34621.27963,58792.47331
NY,pulmonary,2018,37661.80811,25572.94677,49750.66944
NY,depression,2018,37044.71166,24967.06579,49122.35752
NY,diabetes,2018,42494.71639,30424.11657,54565.3162
NY,hyperlip,2018,52766.9138,40673.417,64860.4106
NY,hypertension,2018,38623.07815,26532.82164,50713.33466
NY,ischemia,2018,101501.0163,89419.67229,113582.3602
NY,arthritis,2018,41684.51289,29584.48235,53784.54344
NY,psychotic,2018,51475.52172,39395.8891,63555.15434
NY,stroke,2018,108161.3807,96046.78632,120275.975
OH,atrial_fib,2018,43023.49274,31192.18101,54854.80448
OH,asthma,2018,26135.44167,14296.77575,37974.10759
OH,chronic_kidney,2018,33588.62411,21753.63271,45423.61551
OH,pulmonary,2018,28207.63746,16372.98845,40042.28647
OH,depression,2018,27004.66359,15175.03804,38834.28913
OH,diabetes,2018,30772.84158,18945.39101,42600.29215
OH,hyperlip,2018,60054.29473,48225.84229,71882.74717
OH,hypertension,2018,28418.77423,16582.14735,40255.4011
OH,ischemia,2018,104727.8933,92893.68609,116562.1006
OH,arthritis,2018,30533.22102,18686.35933,42380.0827
OH,psychotic,2018,31677.85571,19841.43412,43514.27731
OH,stroke,2018,77228.3754,65375.70099,89081.04982
OK,atrial_fib,2018,38947.2219,27191.11192,50703.33188
OK,asthma,2018,34074.14639,22308.68487,45839.6079
OK,chronic_kidney,2018,38242.18469,26482.50565,50001.86372
OK,pulmonary,2018,28327.54718,16572.37888,40082.71548
OK,depression,2018,28382.75963,16625.84219,40139.67708
OK,diabetes,2018,34116.57325,22362.24704,45870.89946
OK,hyperlip,2018,63228.66036,51457.15095,75000.16976
OK,hypertension,2018,28943.62307,17181.01667,40706.22946
OK,ischemia,2018,108425.3632,96644.64242,120206.0839
OK,arthritis,2018,14431.32164,2650.112709,26212.53057
OK,psychotic,2018,20442.65228,8673.337748,32211.96681
OK,stroke,2018,74608.8129,62821.17676,86396.44904
OR,atrial_fib,2018,29741.98382,17981.6239,41502.34374
OR,asthma,2018,26166.5521,14404.31792,37928.78628
OR,chronic_kidney,2018,31372.11059,19612.37124,43131.84994
OR,pulmonary,2018,26960.02169,15202.56125,38717.48213
OR,depression,2018,27564.78151,15809.24648,39320.31655
OR,diabetes,2018,25313.57951,13561.06851,37066.09051
OR,hyperlip,2018,44268.06653,32506.57589,56029.55716
OR,hypertension,2018,25143.80409,13378.67016,36908.93802
OR,ischemia,2018,90251.36785,78493.48515,102009.2506
OR,psychotic,2018,39572.44594,27806.02278,51338.8691
PA,atrial_fib,2018,56000.76713,44052.00697,67949.52729
PA,asthma,2018,45166.97508,33210.06827,57123.88188
PA,chronic_kidney,2018,53617.71554,41665.69717,65569.7339
PA,pulmonary,2018,42583.51553,30636.88304,54530.14802
PA,depression,2018,45754.33484,33809.11861,57699.55107
PA,diabetes,2018,44527.21515,32581.91618,56472.51411
PA,hyperlip,2018,71853.17193,59906.78068,83799.56317
PA,hypertension,2018,39043.0035,27087.19884,50998.80817
PA,ischemia,2018,130528.3722,118553.7425,142503.002
PA,arthritis,2018,41885.49353,29916.78658,53854.20048
PA,psychotic,2018,50595.75741,38640.51327,62551.00155
PA,stroke,2018,104931.96,92939.42598,116924.4941
RI,atrial_fib,2018,30116.9281,18363.43071,41870.4255
RI,asthma,2018,26659.30095,14899.19672,38419.40517
RI,chronic_kidney,2018,23171.85377,11414.24679,34929.46075
RI,pulmonary,2018,20600.23257,8845.957598,32354.50755
RI,depression,2018,23236.73593,11483.74612,34989.72574
RI,diabetes,2018,21131.64728,9381.956191,32881.33837
RI,hyperlip,2018,34630.29834,22864.51937,46396.07732
RI,hypertension,2018,22013.83936,10251.54425,33776.13447
RI,ischemia,2018,71293.90722,59528.43101,83059.38343
RI,arthritis,2018,21187.61516,9402.006896,32973.22342
RI,psychotic,2018,25070.14485,13306.2441,36834.0456
RI,stroke,2018,63692.68154,51901.6813,75483.68179
SC,atrial_fib,2018,56508.392,44720.52886,68296.25515
SC,asthma,2018,31202.18556,19419.8393,42984.53181
SC,chronic_kidney,2018,36345.36738,24568.62017,48122.11459
SC,pulmonary,2018,31322.82351,19548.51937,43097.12765
SC,depression,2018,34621.92913,22846.82343,46397.03482
SC,diabetes,2018,33279.39322,21508.21394,45050.5725
SC,hyperlip,2018,66937.59571,55147.47094,78727.72048
SC,hypertension,2018,29417.04704,17635.66909,41198.42499
SC,ischemia,2018,103256.8126,91472.19475,115041.4304
SC,arthritis,2018,27236.18294,15437.31184,39035.05405
SC,psychotic,2018,35583.2003,23801.97817,47364.42242
SC,stroke,2018,73467.13992,61663.49406,85270.78577
SD,atrial_fib,2018,32474.86709,20725.3267,44224.40748
SD,asthma,2018,23804.86315,12048.82753,35560.89878
SD,chronic_kidney,2018,26336.70584,14584.40568,38089.00601
SD,pulmonary,2018,22165.40837,10416.09141,33914.72533
SD,depression,2018,20936.70333,9187.72575,32685.68091
SD,diabetes,2018,36614.84129,24864.06625,48365.61633
SD,hyperlip,2018,50776.0856,39020.46146,62531.70973
SD,hypertension,2018,21894.4035,10136.05435,33652.75265
SD,ischemia,2018,71504.75857,59743.62281,83265.89433
SD,psychotic,2018,29778.87579,18019.54104,41538.21054
TN,atrial_fib,2018,47587.55951,35798.11908,59376.99994
TN,asthma,2018,30811.68009,19018.60774,42604.75244
TN,chronic_kidney,2018,37927.35617,26138.66566,49716.04668
TN,pulmonary,2018,29960.92379,18175.03453,41746.81306
TN,depression,2018,30553.25514,18767.21802,42339.29227
TN,diabetes,2018,31278.65764,19494.39131,43062.92397
TN,hyperlip,2018,56681.50957,44892.41637,68470.60277
TN,hypertension,2018,29364.02089,17573.71278,41154.32899
TN,ischemia,2018,111537.6103,99729.13848,123346.082
TN,arthritis,2018,27477.73581,15674.98742,39280.48421
TN,psychotic,2018,34981.09544,23188.49226,46773.69862
TN,stroke,2018,70533.02551,58719.86252,82346.18851
TX,atrial_fib,2018,53409.04487,41483.16634,65334.92339
TX,asthma,2018,39644.3876,27714.36261,51574.41258
TX,chronic_kidney,2018,50001.06377,38075.94957,61926.17798
