state,condition,year,prev_less_65,prev_age_65_74,prev_age_75_84,prev_above_84,prev_male,prev_female,prev_white,prev_black,prev_hispanic,prev_other,current_cost,last_year_cost
AR,atrial_fib,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,32151.49,30628.92
AR,asthma,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,18998.68,18867.38
AR,chronic_kidney,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,25334.84,26239.57
AR,pulmonary,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,21835.35,20656.67
AR,depression,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,12886.79,13277.94
AR,diabetes,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,22674.92,23872.73
AR,hyperlip,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,33689.0,34508.37
AR,hypertension,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,18258.6,18174.92
AR,ischemia,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,82556.5,81935.76
AR,psychotic,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,19382.55,14813.56
AR,stroke,2017,700863.0,1523317.0,1100675.0,474460.0,1586608.0,2268488.0,3096800.0,251188.0,24732.0,9514.0,60759.75,60005.58
AZ,atrial_fib,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,44113.97,42714.1
AZ,asthma,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,34344.17,34986.37
AZ,chronic_kidney,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,38686.5,37566.36
AZ,pulmonary,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,39114.78,35737.41
AZ,depression,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,33130.57,24884.65
AZ,diabetes,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,38939.76,36870.39
AZ,hyperlip,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,54144.79,52748.4
AZ,hypertension,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,30125.59,28781.03
AZ,ischemia,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,115810.26,107431.51
AZ,arthritis,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,22267.49,14792.21
AZ,psychotic,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,21516.87,23905.47
AZ,stroke,2017,662897.0,3525249.0,2331752.0,923135.0,3419161.0,4220291.0,6231353.0,154156.0,468198.0,70694.0,66366.32,59740.0
CA,atrial_fib,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,74454.3,69618.66
CA,asthma,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,60214.62,53125.15
CA,chronic_kidney,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,66003.33,65098.56
CA,pulmonary,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,59784.32,58311.65
CA,depression,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,58539.84,56221.38
CA,diabetes,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,63897.92,57520.82
CA,hyperlip,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,97251.47,97260.53
CA,hypertension,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,53279.95,49454.0
CA,ischemia,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,170190.43,154787.94
CA,arthritis,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,59758.12,58817.9
CA,psychotic,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,75278.73,75324.52
CA,stroke,2017,3988668.0,11662352.0,8427786.0,4491422.0,12519220.0,16724713.0,19271110.0,1492640.0,3971756.0,364565.0,132974.11,149124.32
CO,atrial_fib,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,49008.27,50044.47
CO,asthma,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,33293.03,32127.68
CO,chronic_kidney,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,46394.7,50851.08
CO,pulmonary,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,40273.13,40869.87
CO,depression,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,41021.84,43214.27
CO,diabetes,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,43123.28,41403.31
CO,hyperlip,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,61600.96,62656.14
CO,hypertension,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,39576.1,27477.31
CO,ischemia,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,135553.76,127554.68
CO,arthritis,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,33025.7,26063.93
CO,psychotic,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,41485.88,42273.17
CO,stroke,2017,690968.0,2137143.0,1309900.0,627843.0,2124475.0,2791013.0,3881356.0,149903.0,312222.0,45407.0,99871.38,110892.09
CT,atrial_fib,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,32475.14,30447.49
CT,asthma,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,21751.23,22901.07
CT,chronic_kidney,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,25546.72,24418.65
CT,pulmonary,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,22394.67,21624.89
CT,depression,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,26907.03,26670.46
CT,diabetes,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,24715.48,24490.47
CT,hyperlip,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,31889.32,36063.88
CT,hypertension,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,29633.63,20906.9
CT,ischemia,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,63955.63,54327.36
CT,arthritis,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,23307.96,20853.69
CT,psychotic,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,35559.59,31370.72
CT,stroke,2017,721334.0,1814692.0,1503397.0,995259.0,2138219.0,2992506.0,4107726.0,319408.0,235389.0,57625.0,64884.31,50484.9
DE,atrial_fib,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,36350.45,34888.3
DE,asthma,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,19284.99,16460.56
DE,chronic_kidney,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,26272.2,24357.87
DE,pulmonary,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,21874.81,21370.02
DE,depression,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,28694.63,26107.24
DE,diabetes,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,23289.75,21302.08
DE,hyperlip,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,28112.79,32321.52
DE,hypertension,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,19129.71,15687.2
DE,ischemia,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,85282.19,85103.23
DE,arthritis,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,26659.82,31250.31
DE,psychotic,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,20965.12,27041.83
DE,stroke,2017,233917.0,724390.0,482759.0,215375.0,708610.0,967459.0,1315639.0,228821.0,22608.0,16117.0,62456.29,56439.12
FL,atrial_fib,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,60222.16,59970.62
FL,asthma,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,36931.67,33826.52
FL,chronic_kidney,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,46878.99,44277.95
FL,pulmonary,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,39335.49,38701.67
FL,depression,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,35969.65,33835.07
FL,diabetes,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,40263.04,36791.08
FL,hyperlip,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,74617.57,71623.98
FL,hypertension,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,33692.97,30117.89
FL,ischemia,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,126767.05,117281.75
FL,arthritis,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,31106.78,32885.37
FL,psychotic,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,51102.1,38681.55
FL,stroke,2017,3541040.0,11324051.0,9208374.0,4939804.0,12789326.0,16691356.0,23205714.0,1989903.0,2171325.0,226245.0,96287.85,92467.98
GA,atrial_fib,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,37895.57,37232.71
GA,asthma,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,24721.03,24080.89
GA,chronic_kidney,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,33598.83,34704.74
GA,pulmonary,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,28502.02,26722.17
GA,depression,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,25947.92,26430.68
GA,diabetes,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,33031.44,28890.69
GA,hyperlip,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,50389.64,45870.65
GA,hypertension,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,27932.34,23686.58
GA,ischemia,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,101023.99,90231.71
GA,arthritis,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,20173.85,19367.48
GA,psychotic,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,33457.92,27593.5
GA,stroke,2017,1890243.0,4465334.0,2957805.0,1281619.0,4551980.0,6252985.0,7881871.0,1726959.0,116860.0,50207.0,76536.41,66168.19
HI,atrial_fib,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,34127.72,42236.4
HI,asthma,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,35306.76,36979.07
HI,chronic_kidney,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,34055.7,29435.93
HI,pulmonary,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,34757.39,32989.24
HI,depression,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,15284.41,14042.03
HI,diabetes,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,29356.02,37393.54
HI,ischemia,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,84427.05,99230.5
HI,stroke,2017,87683.0,371552.0,243030.0,131731.0,388912.0,482620.0,301702.0,8684.0,29065.0,75317.0,40533.31,43580.07
IA,atrial_fib,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,33825.77,32635.87
IA,asthma,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,22902.89,19701.41
IA,chronic_kidney,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,31062.42,26613.17
IA,pulmonary,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,21817.79,20802.84
IA,depression,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,18545.11,13973.4
IA,diabetes,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,24022.47,23026.91
IA,hyperlip,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,46512.56,48128.53
IA,hypertension,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,23040.52,17139.01
IA,ischemia,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,75511.79,71616.29
IA,arthritis,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,18149.91,16769.42
IA,psychotic,2017,531396.0,1494833.0,1082241.0,588087.0,1580788.0,2195756.0,2901355.0,64215.0,24590.0,18986.0,35374.2,28398.62
ID,atrial_fib,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,39973.03,27489.63
ID,asthma,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,19785.95,16955.52
ID,chronic_kidney,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,26052.85,23835.28
ID,pulmonary,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,25073.16,22751.48
ID,depression,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,24115.37,21155.51
ID,diabetes,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,29080.44,23428.3
ID,hyperlip,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,37044.79,42117.96
ID,ischemia,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,87538.35,83198.37
ID,stroke,2017,209477.0,585507.0,403687.0,173940.0,610515.0,804314.0,1115970.0,4191.0,33345.0,8040.0,55801.33,56791.06
IL,atrial_fib,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,40968.04,38544.56
IL,asthma,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,29921.99,27917.69
IL,chronic_kidney,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,37919.87,35028.12
IL,pulmonary,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,31184.98,29440.72
IL,depression,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,26393.43,23660.02
IL,diabetes,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,33264.72,29111.0
IL,hyperlip,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,56051.06,51227.98
IL,hypertension,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,26283.53,22402.97
IL,ischemia,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,102628.08,94124.49
IL,arthritis,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,25030.14,22808.53
IL,psychotic,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,34249.63,28288.89
IL,stroke,2017,2288816.0,6172419.0,4620679.0,2585142.0,6671189.0,9274106.0,11794091.0,1707680.0,666573.0,111715.0,75012.5,75758.82
IN,atrial_fib,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,36617.34,33768.44
IN,asthma,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,23176.07,23501.03
IN,chronic_kidney,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,33983.95,32115.53
IN,pulmonary,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,25258.29,23931.86
IN,depression,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,21990.64,21868.59
IN,diabetes,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,28065.52,26164.34
IN,hyperlip,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,63544.71,70529.58
IN,hypertension,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,26524.36,25921.34
IN,ischemia,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,102321.1,87503.54
IN,arthritis,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,16452.98,21391.6
IN,psychotic,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,29997.75,25874.56
IN,stroke,2017,1543314.0,3335553.0,2336988.0,1207331.0,3551930.0,5012835.0,6723018.0,550957.0,87351.0,45477.0,70405.18,75591.39
KS,atrial_fib,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,38973.27,32888.58
KS,asthma,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,30301.73,24619.03
KS,chronic_kidney,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,36629.78,30978.72
KS,pulmonary,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,32970.35,27229.39
KS,depression,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,30996.72,28171.43
KS,diabetes,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,30022.53,26027.67
KS,hyperlip,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,77208.16,72924.61
KS,hypertension,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,29254.76,23591.47
KS,ischemia,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,99278.88,87977.27
KS,arthritis,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,19821.29,21314.01
KS,psychotic,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,41278.2,37070.02
KS,stroke,2017,660051.0,1678187.0,1192103.0,617984.0,1768804.0,2456209.0,3455836.0,201385.0,81936.0,24484.0,77099.53,49395.58
KY,atrial_fib,2017,1324441.0,2236293.0,1482573.0,689606.0,2460813.0,3386454.0,4517416.0,234177.0,19791.0,18338.0,43114.88,39482.56
KY,asthma,2017,1324441.0,2236293.0,1482573.0,689606.0,2460813.0,3386454.0,4517416.0,234177.0,19791.0,18338.0,20307.8,20788.55
KY,chronic_kidney,2017,1324441.0,2236293.0,1482573.0,689606.0,2460813.0,3386454.0,4517416.0,234177.0,19791.0,18338.0,27928.95,30239.84
